#{"t_start": 1684358533.0692818, "env_id": null}
r,l,t
14,14,7852.351931
16,16,7858.496469
14,14,7864.593649
10,10,7870.944301
21,21,7877.451469
14,14,7883.568127
15,15,7889.652214
11,11,7896.118369
12,12,7902.667533
11,11,7909.050999
12,12,7915.374943
14,14,7922.434007
14,14,7928.56739
13,13,7935.050895
15,15,7941.233417
13,13,7947.417206
13,13,7953.966802
13,13,7960.282673
14,14,7966.332665
12,12,7972.469284
41,41,7986.366107
14,14,7992.7832
14,14,7998.930866
19,19,8006.465805
14,14,8012.702155
15,15,8019.082446
15,15,8025.615656
13,13,8031.789574
12,12,8037.906819
21,21,8046.34023
13,13,8052.806624
14,14,8059.028447
13,13,8065.380392
15,15,8071.548497
15,15,8078.400358
15,15,8084.797841
12,12,8091.146835
16,16,8098.280341
14,14,8104.588894
14,14,8110.955611
17,17,8117.029219
11,11,8123.52901
22,22,8131.412984
20,20,8138.012896
16,16,8144.195982
14,14,8150.77064
16,16,8158.620612
14,14,8164.720565
14,14,8171.023017
12,12,8177.170729
19,19,8183.686484
14,14,8190.528055
16,16,8197.077043
15,15,8204.33631
14,14,8210.496724
15,15,8216.711496
17,17,8223.694199
17,17,8230.027344
13,13,8236.469281
12,12,8243.185209
12,12,8249.67704
17,17,8255.994999
15,15,8262.192922
15,15,8268.426549
11,11,8274.651843
12,12,8280.83793
12,12,8287.308796
14,14,8293.366752
13,13,8299.450629
15,15,8306.255844
13,13,8312.425246
28,28,8321.742538
11,11,8328.277693
13,13,8334.499848
17,17,8340.791334
11,11,8346.950847
17,17,8353.307818
19,19,8359.682911
13,13,8366.660426
15,15,8372.827263
18,18,8379.475119
14,14,8386.473256
12,12,8392.998592
16,16,8399.564791
17,17,8406.132526
13,13,8412.639587
17,17,8420.264756
20,20,8426.555958
15,15,8433.072995
12,12,8439.297306
11,11,8445.456145
16,16,8451.638797
20,20,8458.688375
14,14,8464.748791
16,16,8470.983696
18,18,8477.146103
16,16,8483.338134
12,12,8489.756069
13,13,8496.171624
13,13,8502.454428
22,22,8510.320555
11,11,8516.420437
14,14,8522.946369
18,18,8529.346132
18,18,8535.82084
13,13,8541.92947
13,13,8548.302192
15,15,8554.762208
14,14,8561.336091
